company_name,ticker_bb,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,market_cap_mln_gbp,plan_name,financial_year,plan_status,metric_name,weight_percentage,threshold_value,threshold_payout_percentage,target_value,target_payout_percentage,stretch_value,stretch_payout_percentage,maximum_value,maximum_payout_percentage,actual_performance,actual_payout_percentage,total_bonus_payout,assessment_summary,additional_conditions,file_name,ar_link,source_link,source_attribution_tier,source_chunk_id
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Adviser net flows,5.0,(£1.0)bn,0.0,,,£2.0bn,5.0,,,(£3.9)bn,0.0,77.48,,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=130"",""p.130 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Investments net flows,5.0,(£7.0)bn,0.0,,,£1.0bn,5.0,,,(£4.7)bn,2.33,77.48,,Excluding cash/liquidity and Insurance Partners,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=130"",""p.130 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Adjusted operating profit,35.0,£204m,0.0,,,£261m,35.0,,,£255m,32.07,77.48,,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=126"",""p.126 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Strategic measures,10.0,,,,,,,,,,10.0,77.48,"Transformation programme delivery - Surpassed initial cost targets with £70m in-year savings and over £100m annualised savings delivered within risk appetite, achieving 7% reduction in adjusted operating expenses (100% of maximum for this metric)",,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=130"",""p.130 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Environment,5.0,,,,,,,,,,3.5,77.48,"Portfolio decarbonisation and operational net zero progress - 45% carbon intensity reduction in public market portfolios vs 2019 baseline, 74% operational emissions reduction vs 2018 baseline, completed engagement programme with top 20 financed emitters (70% of maximum for this metric)",,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=131"",""p.131 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Social/People,10.0,,,,,,,,,,8.0,77.48,"Culture, engagement and diversity measures - Employee engagement improved to 57% (from 54% in 2023), increased motivation and confidence scores, senior leadership gender representation at 40% and UK ethnicity diversity at 7% (80% of maximum for this metric)",,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=131"",""p.131 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2024,completed,Customer,10.0,,,,,,,,,,6.08,77.48,"Performance across ii, Adviser and Investments businesses - Strong organic growth in ii with robust customer satisfaction, improved client satisfaction in Adviser but with net outflows, strong client relationships in Investments with improved net flows (61% of maximum for this metric)",,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=132"",""p.132 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,Investment performance,10.0,,,,,,,,,,,,,Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=129"",""p.129 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,Adjusted operating profit,40.0,,,,,,,,,,,,,Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=129"",""p.129 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,Net flows,15.0,,,,,,,,,,,,,Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=129"",""p.129 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,Customer objectives,10.0,,,,,,,,,,,,,Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=127"",""p.127 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,ESG objectives,15.0,,,,,,,,,,,,,Comprising Environment and Social measures - Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=129"",""p.129 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,2025,prospective,Strategic initiative,10.0,,,,,,,,,,,,,Progress on key strategic initiative - Not disclosed due to commercial sensitivity,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=129"",""p.129 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Adjusted Operating Profit,40.0,Not publicly disclosed (commercially sensitive),25.0,Not publicly disclosed (commercially sensitive),100.0,,,Not publicly disclosed (commercially sensitive),100.0,Not explicitly disclosed in numerical terms; performance vs. maximum was 70% (per bar chart),27.98,77.49,"Financial measure contributing to the 65% financial measures sub-total. Achieved 27.98% out of a maximum 40%, representing approximately 70% of maximum performance.","Targets set with reference to Board-approved plan. At threshold performance, 25% of award opportunity is payable; 100% payable for maximum performance. Maximum payout for this metric is 40% of total scorecard.",aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=112"",""p.112 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Net Flows,15.0,Not publicly disclosed (commercially sensitive),25.0,Not publicly disclosed (commercially sensitive),100.0,,,Not publicly disclosed (commercially sensitive),100.0,Not explicitly disclosed in numerical terms; performance vs. maximum was 55% (per bar chart),8.18,77.49,"Financial measure contributing to the 65% financial measures sub-total. Achieved 8.18% out of a maximum 15%, representing approximately 55% of maximum performance.","Excludes cash/liquidity, Insurance Partners and £4.0bn of outflows relating to the previously announced low margin sustainable credit mandate within the Standard Life plc Distributor Agreement reflected within I&RW for Investments net flows. Maximum payout for this metric is 15% of total scorecard.",aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=108"",""p.108 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Investment Performance,10.0,Not publicly disclosed (commercially sensitive),25.0,Not publicly disclosed (commercially sensitive),100.0,,,Not publicly disclosed (commercially sensitive),100.0,"100% of maximum achieved (per bar chart); measured as % AUM above benchmark, average of one-year and three-year for all asset classes",10.0,77.49,"Financial measure contributing to the 65% financial measures sub-total. Achieved full maximum payout of 10% out of 10%, representing 100% of maximum performance.",Measured as % AUM above benchmark (average of one-year and three-year for all asset classes). Maximum payout for this metric is 10% of total scorecard.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=112"",""p.112 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Strategic Initiatives,10.0,,,Delivery of at least £150m annualised cost savings by end of 2025 (Group target); stretch target of £180m set for executive Directors,100.0,,,£180m annualised cost savings (stretch target for executive Directors),100.0,"Programme exceeded stretch target — £180m of annualised savings achieved, with £84m reflected in the Group's financial performance for the year (additional to £70m already achieved in 2024), driving a £54m reduction in adjusted operating expenses in 2025",10.0,77.49,Non-financial measure contributing to the 35% non-financial measures sub-total. Achieved full maximum payout of 10% out of 10% (100% of maximum; performance vs. maximum shown as 100% in bar chart). Programme exceeded the stretch target of £180m annualised cost savings.,Single measure related to a critical group-wide strategic initiative (transformation programme launched January 2024). Maximum payout for this metric is 10% of total scorecard.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=115"",""p.115 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Environment,5.0,,,Year-on-year improvement on progress towards portfolio decarbonisation and Operational Net Zero targets,100.0,,,Maximum performance against portfolio decarbonisation and Operational Net Zero targets,100.0,"Key outcomes: (1) 52% carbon intensity reduction in in-scope public market portfolios vs. 2019 baseline (up from 45% in 2024), on track for 50% reduction target by 2030; (2) 45% reduction in in-scope real estate portfolio (up from 34% in 2024); (3) 79% reduction in operational emissions vs. 2018 baseline (up from 74% in 2024), on track for operational net zero by 2040; (4) Expanded Climate Engagement Programme with escalation actions used where progress was insufficient",4.5,77.49,Non-financial measure contributing to the 35% non-financial measures sub-total. Achieved 4.50% out of a maximum 5% (90% of maximum; performance vs. maximum shown as 90% in bar chart). Strong progress across portfolio decarbonisation and operational emissions reduction metrics.,Assessment based on range of quantitative and qualitative measures; further detail in Sustainability report. Maximum payout for this metric is 5% of total scorecard.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=116"",""p.116 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Social/People,10.0,,,"Noteworthy improvement in culture trackers, engagement scores and key indicators such as employee confidence, pride and advocacy",100.0,,,"Maximum performance against culture trackers, engagement scores and key indicators",100.0,"Key outcomes: (1) Colleague engagement increased to 67% (from 57% in 2024 and 54% in 2023); participation rate of 86% with over 6,000 comments; (2) Confidence in leadership increased to 66% (from 58% in 2024); (3) Colleague alignment with client delivery increased to 81% (from 78% in 2024); (4) Pride and advocacy indicators reached highest levels in recent years; (5) Gender representation at Senior leadership level remained stable at 40%",9.5,77.49,Non-financial measure contributing to the 35% non-financial measures sub-total. Achieved 9.50% out of a maximum 10% (95% of maximum; performance vs. maximum shown as 95% in bar chart). Significant improvements across all key people and culture indicators.,Assessment based on range of quantitative and qualitative measures including gender representation and employee engagement data. Maximum payout for this metric is 10% of total scorecard.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=117"",""p.117 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan,FY2025,completed,Customer,10.0,,,"Measured across ii, Adviser and Investments businesses against business-specific quantitative and qualitative measures",100.0,,,"Maximum performance across ii, Adviser and Investments business-specific quantitative and qualitative measures",100.0,"Key outcomes by business line: (1) ii: Strong organic customer growth, increased prompted brand awareness, further year-on-year growth in SIPP customers, sustained customer satisfaction scores; (2) Adviser: Average net promoter score of +45 in 2025 (up from +34 in 2024 and +16 in 2023); improved core service indicators and industry recognition; (3) Investments: Strong client relationships, maintained Broadridge Fund Brand 50 UK ranking year-on-year, increased number of mandates onboarded year-on-year",7.33,77.49,Non-financial measure contributing to the 35% non-financial measures sub-total. Achieved 7.33% out of a maximum 10% (73% of maximum; performance vs. maximum shown as 73% in bar chart). Mixed performance across the three business lines with particularly strong NPS improvement in Adviser business.,"Assessment based on range of internal and external quantitative and qualitative measures across three distinct business lines (ii, Adviser and Investments). Maximum payout for this metric is 10% of total scorecard.",aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=117"",""p.117 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan (2026),FY2026,prospective,Adjusted Profit Before Tax (referred to as 'Adjusted operating profit' in summary scorecard table and 'Adjusted profit before tax' in 2026 policy measures table),40.0,Not disclosed (commercially sensitive; to be disclosed in arrears),25.0,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,,,Targets set with reference to Board-approved plan; chosen to ensure strong alignment with shareholders via profitability measure. Specific targets are commercially sensitive and will be disclosed in the Annual Report and Accounts 2026. Maximum opportunity up to 300% of salary (subject to total cap of 700% of salary across LTIP and Annual Bonus).,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=135"",""p.135 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan (2026),FY2026,prospective,Net Flows,15.0,Not disclosed (commercially sensitive; to be disclosed in arrears),25.0,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,,,Chosen for direct link to future financial performance as set out in the business plan. Specific targets are commercially sensitive and will be disclosed in the Annual Report and Accounts 2026.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=114"",""p.114 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan (2026),FY2026,prospective,Investment Performance,10.0,Not disclosed (commercially sensitive; to be disclosed in arrears),25.0,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,Not disclosed (commercially sensitive; to be disclosed in arrears),100.0,,,,,Chosen for direct link to future financial performance as set out in the business plan. Specific targets are commercially sensitive and will be disclosed in the Annual Report and Accounts 2026.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=114"",""p.114 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan (2026),FY2026,prospective,Strategic Initiatives,10.0,,,Progress on key strategic initiatives (specific targets not disclosed; commercially sensitive; to be disclosed in arrears),100.0,,,,,,,,Non-financial measure. Specific targets not disclosed for FY2026; to be disclosed in arrears in the Annual Report and Accounts 2026.,Key strategic objectives used to focus executives on specific strategic priorities that can drive improved future performance. Specific targets are commercially sensitive and will be disclosed in the Annual Report and Accounts 2026.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=114"",""p.114 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,Annual Bonus Plan (2026),FY2026,prospective,Environment,5.0,,,Performance against Environmental objectives including sustainability commitments and carbon reduction programmes (specific targets not disclosed; to be disclosed in arrears),100.0,,,,,,,,Non-financial measure. Specific targets not disclosed for FY2026; to be disclosed in arrears in the Annual Report and Accounts 2026.,May include sustainability commitments and carbon reduction programmes. Specific targets are commercially sensitive and will be disclosed in the Annual Report and Accounts 2026.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=114"",""p.114 of AR"")",2.0,
