company_name,ticker_bb,gics_sector,gics_industry_group,gics_industry,gics_sub_industry,market_cap_mln_gbp,financial_year,executive_name,position,salary_amount,salary_currency,annual_bonus_amount,ltip_amount,pension_amount,benefits_amount,other_compensation_amount,total_compensation_amount,total_compensation_currency,is_pro_rata,pro_rata_notes,file_name,ar_link,source_link,source_attribution_tier,source_chunk_id
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,2024,Jason Windsor,"Chief Executive Officer (appointed CEO on 10 September 2024, previously CFO and Interim CEO)",773000.0,GBP,1249000.0,0.0,128000.0,1000.0,1041000.0,3192000.0,GBP,False,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=139"",""p.139 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,2024,Stephen Bird,"Former Chief Executive Officer (stepped down 24 May 2024, commenced garden leave 1 July 2024)",347000.0,GBP,843000.0,0.0,63000.0,0.0,0.0,1253000.0,GBP,False,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=127"",""p.127 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,2023,Jason Windsor,Chief Financial Officer (appointed to Board 23 October 2023),130000.0,GBP,70000.0,3000.0,23000.0,0.0,712000.0,938000.0,GBP,False,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=135"",""p.135 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,2023,Stephen Bird,Chief Executive Officer,875000.0,GBP,786000.0,275000.0,158000.0,1000.0,0.0,2095000.0,GBP,False,,aberdeen_group_ar_2024,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=135"",""p.135 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,FY2025,Jason Windsor,Chief Executive Officer,800000.0,GBP,1550000.0,391000.0,144000.0,1000.0,106000.0,2992000.0,GBP,False,Served full year as CEO. Note: 2024 bonus opportunity was pro-rated across CEO and CFO roles; 2025 reflects full year as CEO.,aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=112"",""p.112 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,FY2025,Siobhan Boylan,Chief Financial Officer,222000.0,GBP,258000.0,0.0,40000.0,0.0,282000.0,802000.0,GBP,True,"Appointed to the Board effective 21 July 2025. All figures reflect amounts paid/awarded since date of appointment. Annual bonus outcome reflects the proportion of the 2025 performance year for which she served at Aberdeen. Buyout awards (£282,000) are excluded from the maximum opportunity chart figures.",aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=115"",""p.115 of AR"")",2.0,
Aberdeen Group Plc,ABDN LN Equity,Financials,Financial Services,Capital Markets,Asset Management & Custody Banks,4251.0,FY2024,Jason Windsor,Chief Executive Officer (promoted from CFO to CEO during 2024),773000.0,GBP,1249000.0,0.0,128000.0,1000.0,1041000.0,3192000.0,GBP,True,"Changed roles mid-year. Annual bonus opportunity for 2024 was based on a pro-rata combination of his CEO and CFO maximum opportunities and salaries, based on the portion of 2024 served in each role. The outcome of the proportion of his 2022 Long-Term Incentive Buyout award subject to Persimmon performance conditions was not known at time of publication of the 2024 Annual Report and has since been restated as £106,000 in the 2025 report.",aberdeen_group_ar_2025,https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24,"=HYPERLINK(""https://www.aberdeeninvestments.com/docs?documentid=AA-110326-205370-24#page=112"",""p.112 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,2024,Milena Mondini de Focatiis,Group CEO,774000.0,GBP,1495058.0,1807222.0,38580.0,470.0,3594.0,4118924.0,GBP,False,,admiral_group_ar_2024,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=165"",""p.165 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,2024,Geraint Jones,Group CFO,465000.0,GBP,898194.0,1054206.0,24675.0,470.0,3594.0,2446139.0,GBP,False,,admiral_group_ar_2024,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=165"",""p.165 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,2023,Milena Mondini de Focatiis,Group CEO,737326.0,GBP,296017.0,1106690.0,15000.0,455.0,3605.0,2159093.0,GBP,False,,admiral_group_ar_2024,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=165"",""p.165 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,2023,Geraint Jones,Group CFO,433472.0,GBP,172676.0,645120.0,15000.0,455.0,3605.0,1270328.0,GBP,False,,admiral_group_ar_2024,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=165"",""p.165 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,FY2025,Milena Mondini de Focatiis,Chief Executive Officer (CEO),797220.0,GBP,1367392.0,2732621.0,47833.0,534.0,3601.0,4949201.0,GBP,False,"Served full year. Note: 2026 salary increased to £895,000 (+12.27%) effective 1 January 2026.",admiral_group_ar_2025,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=177"",""p.177 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,FY2025,Geraint Jones,Chief Financial Officer (CFO),495000.0,GBP,849024.0,1594029.0,29700.0,534.0,3601.0,2971888.0,GBP,False,"Served full year. Note: 2026 salary increased to £510,000 (+3.03%) effective 1 January 2026.",admiral_group_ar_2025,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=177"",""p.177 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,FY2024,Milena Mondini de Focatiis,Chief Executive Officer (CEO),774000.0,GBP,1495058.0,1807222.0,38580.0,470.0,3594.0,4118924.0,GBP,False,Served full year.,admiral_group_ar_2025,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=177"",""p.177 of AR"")",2.0,
Admiral Group Plc,ADM LN Equity,Financials,Insurance,Insurance,Property & Casualty Insurance,9821.9,FY2024,Geraint Jones,Chief Financial Officer (CFO),465000.0,GBP,898194.0,1054206.0,24675.0,470.0,3594.0,2446139.0,GBP,False,Served full year.,admiral_group_ar_2025,https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278,"=HYPERLINK(""https://admiralgroup.co.uk/static-files/1cc7d555-af0c-42c8-b2d9-8bae4036c278#page=177"",""p.177 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2024,Roger White,Chief Executive Officer,515000.0,GBP,610000.0,784000.0,108000.0,40000.0,,2057000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=80"",""p.80 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2024,Stuart Lorimer,Executive Director,353000.0,GBP,420000.0,539000.0,74000.0,17000.0,,1403000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=80"",""p.80 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2024,Jonathan Kemp,Executive Director,268000.0,GBP,323000.0,411000.0,57000.0,18000.0,,1077000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=80"",""p.80 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2023,Roger White,Chief Executive Officer,503000.0,GBP,462000.0,506000.0,269000.0,41000.0,,1781000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=83"",""p.83 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2023,Stuart Lorimer,Executive Director,340000.0,GBP,318000.0,348000.0,77000.0,18000.0,,1101000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=83"",""p.83 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,2023,Jonathan Kemp,Executive Director,254000.0,GBP,242000.0,265000.0,57000.0,19000.0,,837000.0,GBP,False,,ag_barr_ar_2024,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=83"",""p.83 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,FY1/26,Euan Sutherland,Chief Executive Officer,666000.0,GBP,476000.0,0.0,47000.0,32000.0,,1221000.0,GBP,False,"Full year as CEO in FY1/26. Note: Appointed to the Board on 1 May 2024, so FY1/25 figure was part-year only.",ag_barr_ar_2025,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=100"",""p.100 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,FY1/26,Stuart Lorimer,Chief Finance and Operating Officer,420000.0,GBP,299000.0,678000.0,38000.0,16000.0,,1451000.0,GBP,False,"Salary increase reflects annual pay award plus exceptional adjustment for expanded role as Chief Finance and Operating Officer, effective 1 April 2025. Pension contribution reduced from 24% to 8% effective 1 April 2025, aligning with wider workforce rate. LTIP vesting relates to 2023 LTIP award: 106,251 shares at 93.1% vesting, 105,804 shares awarded at £6.41 per share = £678,000.",ag_barr_ar_2025,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=100"",""p.100 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,FY1/25,Euan Sutherland,Chief Executive Officer,488000.0,GBP,611000.0,0.0,34000.0,163000.0,,1296000.0,GBP,True,"Appointed to the Board on 1 May 2024; remuneration covers approximately 9 months (1 May 2024 to 25 January 2025). Benefits figure of £163,000 is notably elevated due to a one-off lump sum relocation allowance on appointment. Annual bonus paid at 94.0% of maximum opportunity.",ag_barr_ar_2025,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=100"",""p.100 of AR"")",2.0,
A.G. Barr Plc,BAG LN Equity,Consumer Staples,Food Beverage & Tobacco,Beverages,Soft Drinks & Non-alcoholic Beverages,664.7,FY1/25,Stuart Lorimer,Chief Finance Officer (subsequently expanded to Chief Finance and Operating Officer from 1 April 2025),367000.0,GBP,346000.0,662000.0,77000.0,20000.0,,1472000.0,GBP,False,"Pension of £77,000 reflects the higher 24% contribution rate applicable in FY1/25, prior to the reduction to 8% effective 1 April 2025. LTIP vesting relates to 2022 LTIP award: 95,187 shares at 100% vesting, 101,190 shares awarded (including dividend equivalents) at £6.54 per share = £662,000 (restated to reflect actual market value at vesting date of 8 April 2025, versus the estimate used in the prior year's Annual Report).",ag_barr_ar_2025,https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf,"=HYPERLINK(""https://www.agbarr.co.uk/media/l0iibclx/50067-ag-barr-annual-report-2026-web2.pdf#page=100"",""p.100 of AR"")",2.0,
Airtel Africa Plc,AAF LN Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,11982.5,2024/25,Sunil Taldar,Chief Executive Officer,570000.0,USD,686000.0,0.0,33000.0,133000.0,0.0,1422000.0,USD,True,"Amount represents remuneration for time served as a director during 2024/25 (appointed as CEO during the year). Benefits breakdown: Expatriate housing ($69k), car ($44k), expatriate home leave ($8k), insurance ($12k). Pension represents end of service gratuity under Dubai employment law (does not receive pension contributions).",airtel_africa_ar_2025,https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf,"=HYPERLINK(""https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf#page=161"",""p.161 of AR"")",2.0,
Airtel Africa Plc,AAF LN Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,11982.5,2024/25,Jaideep Paul,Chief Financial Officer,670000.0,USD,758000.0,495000.0,43000.0,191000.0,0.0,2157000.0,USD,False,"Outgoing CFO - departure announced. Full year remuneration. Benefits breakdown: Expatriate housing ($93k), car ($58k), expatriate home leave ($22k), insurance ($18k). Pension represents end of service gratuity under Dubai employment law (does not receive pension contributions). LTIP: 152,873 PSU awards and 127,531 RSU awards granted 28 June 2022, vesting in 2025. Valued at average share price of GBP 1.398 ($1.764) between 1 January 2025 and 31 March 2025.",airtel_africa_ar_2025,https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf,"=HYPERLINK(""https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf#page=161"",""p.161 of AR"")",2.0,
Airtel Africa Plc,AAF LN Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,11982.5,2024/25,Segun Ogunsanya,Former Chief Executive Officer,252000.0,USD,265000.0,505000.0,40000.0,15000.0,505000.0,1076000.0,USD,True,"Amount represents remuneration for time served as a director during 2024/25 (departed during the year). Benefits breakdown: Car benefit ($5k), insurance ($10k). Pension: Received pension contribution of 10% of salary under legacy arrangements.",airtel_africa_ar_2025,https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf,"=HYPERLINK(""https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf#page=161"",""p.161 of AR"")",2.0,
Airtel Africa Plc,AAF LN Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,11982.5,2023/24,Jaideep Paul,Chief Financial Officer,638000.0,USD,776000.0,745000.0,40000.0,192000.0,0.0,2391000.0,USD,False,Full year as Chief Financial Officer,airtel_africa_ar_2025,https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf,"=HYPERLINK(""https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf#page=161"",""p.161 of AR"")",2.0,
Airtel Africa Plc,AAF LN Equity,Communication Services,Telecommunication Services,Wireless Telecommunication Services,Wireless Telecommunication Services,11982.5,2023/24,Segun Ogunsanya,Chief Executive Officer,1001000.0,USD,1276000.0,1378000.0,162000.0,435000.0,2083000.0,6335000.0,USD,False,Full year as Chief Executive Officer,airtel_africa_ar_2025,https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf,"=HYPERLINK(""https://cdn-webportal.airtelstream.net/website/investor/main/pdf/Airtel_Africa_plc_Annual_Report_and_Accounts_2026.pdf#page=161"",""p.161 of AR"")",2.0,
AJ Bell Plc,AJB LN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,2040.9,FY2025,Michael Summersgill,Chief Executive Officer,541000.0,GBP,571000.0,1303000.0,38000.0,2000.0,,2455000.0,GBP,False,Served full year in FY2025. Achieved EIP vesting of 80% of maximum opportunity. EIP Deferred Award value based on share price of 505p at initial vesting on 18 November 2025.,aj_bell_ar_2025,https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf,"=HYPERLINK(""https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf#page=99"",""p.99 of AR"")",2.0,
AJ Bell Plc,AJB LN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,2040.9,FY2025,Roger Stott,Executive Director (resigned/retired 31 December 2024),79000.0,GBP,0.0,0.0,6000.0,19000.0,,104000.0,GBP,True,"Stepped down as Executive Director on 31 December 2024 (approximately 3 months of FY2025). Received salary, pension and benefits up to 31 December 2024 only. Did not participate in the FY25 EIP. Additionally received payments totalling £63,458 in respect of base salary during his six-month notice period (post-resignation, not included in the single figure table).",aj_bell_ar_2025,https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf,"=HYPERLINK(""https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf#page=106"",""p.106 of AR"")",2.0,
AJ Bell Plc,AJB LN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,2040.9,FY2025,Peter Birch,Chief Financial Officer,425000.0,GBP,393000.0,896000.0,30000.0,10000.0,,1754000.0,GBP,False,Served full year in FY2025. Achieved EIP vesting of 80% of maximum opportunity. EIP Deferred Award value based on share price of 505p at initial vesting on 18 November 2025.,aj_bell_ar_2025,https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf,"=HYPERLINK(""https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf#page=99"",""p.99 of AR"")",2.0,
AJ Bell Plc,AJB LN Equity,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,2040.9,FY2024,Michael Summersgill,Chief Executive Officer,525000.0,GBP,630000.0,945000.0,10000.0,4000.0,,2114000.0,GBP,False,Served full year in FY2024. Achieved EIP vesting of 74% of maximum opportunity. EIP Deferred Award value based on share price of 460p at vesting. Benefits figure is restated.,aj_bell_ar_2025,https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf,"=HYPERLINK(""https://www.ajbell.co.uk/group/sites/ajbell.co.uk/files/accounts/FY25-annual-report.pdf#page=113"",""p.113 of AR"")",2.0,
